date,icon,title,content,url
20230504,gavel,"WG Meeting summary, May 4",,https://www.arlingtonma.gov/home/showpublisheddocument/65947/638235384992170000
20230430,gavel,Summary report of March/April community survey,,https://www.arlingtonma.gov/home/showpublisheddocument/65987/638236619962500000
20230430,gavel,Community Survey detail answers,Detailed survey data provided by WG member Steve Revilak.,https://www.srevilak.net/wiki/images/e/e0/Mbta-community-survey-raw.xlsx
20230425,landmark,All Action Plans submitted to state,Downloadable listing of Action Plans submitted by all MBTA Communities.,https://www.mass.gov/doc/submitted-section-3a-action-plans
20230328,gavel,"WG Meeting summary, March 28",,https://www.arlingtonma.gov/home/showpublisheddocument/65945/638235384961870000
20230316,gavel,March 16 presentation by Utile to Arlington,,https://www.arlingtonma.gov/home/showpublisheddocument/65985/638236617151900000
20230316,map,"WG Draft Map, May 16, version 1",,https://www.arlingtonma.gov/home/showpublisheddocument/65975/638236616845500000
20230316,map,"WG Draft Map, May 16, version 2",,https://www.arlingtonma.gov/home/showpublisheddocument/65977/638236616852070000
20230309,gavel,DPCD and WG Kickoff community visioning - video,,https://youtu.be/gaGDa_uVpbE
20230309,gavel,DPCD and WG Kickoff community visioning - slide deck,,https://www.arlingtonma.gov/home/showpublisheddocument/64360/638144083684400000
20230301,newspaper,Your Arlington coverage of early MBTA survey,MBTA Communities' survey deadline passes.,https://yourarlington.com/arlington-archives/town-school/planning/21215-communities-022323.html
20230228,gavel,"WG Meeting summary, February 28",,https://www.arlingtonma.gov/home/showpublisheddocument/65943/638235384916070000
20230213,gavel,"WG Meeting summary, February 13",,https://www.arlingtonma.gov/home/showpublisheddocument/64174/638203483450630000
20230202,gavel,"WG Meeting summary, February 2",,https://www.arlingtonma.gov/home/showpublisheddocument/64172/638203483692500000
20230131,gavel,Arlington MBTA Action Plan,Original response by Arlington to the MBTA Communities requirements. *(PDF)*,https://www.arlingtonma.gov/home/showpublisheddocument/64400/638146389498930000
20230101,gavel,Arlington MBTA Communities Working Group (WG) Homepage,,https://www.arlingtonma.gov/Home/Components/News/News/12760/16
20230101,gavel,Arlington Working Group FAQ,FAQ of the town's working group process and schedule.,https://www.arlingtonma.gov/home/showpublisheddocument/66275
20230101,map,MHP Residensity Map tool,"Interactive map showing residential density in specific areas, down to parcel level.",https://residensity.mhp.net/
20230101,map,MHP TODEX Transit Map tool,Interactive map showing density near all MBTA stations.,https://mhpcenterforhousingdata.shinyapps.io/todex/
20230101,map,MHP DataTown open data,Open data listing of housing & demographic info for all MA towns.,https://mhpcenterforhousingdata.shinyapps.io/DataTown/
20230101,map,MAPC Transit Mapper tool,Map of transit stations with detailed analysis of nearby neighborhoods.,https://www.tstation.info/#fss/q/by_name=MASSACHUSETTS%20AVE%20@%20DANIELS%20ST
20230101,map,"MassMapper, generalized mapping tool.",Detailed and interactive mapping tool covering all of Mass with multiple layers.,https://maps.massgis.digital.mass.gov/MassMapper/MassMapper.html
